Expiration,TradeId,TradeName,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,PnL
5/29/2015,8281,L1 488 700,1/2/2015 8:30,1/20/2015 6:35,147,18,720
6/19/2015,8282,L2 488 700,1/16/2015 8:30,3/10/2015 9:00,154,53,740
6/30/2015,8283,L3 488 700,1/30/2015 8:30,3/27/2015 8:30,151,56,280
7/31/2015,8284,L4 488 700,2/13/2015 8:30,3/30/2015 6:45,168,45,740
9/18/2015,8285,L5 488 700,2/27/2015 8:30,4/24/2015 8:30,203,56,-180
8/31/2015,8286,L6 488 700,3/13/2015 8:30,4/22/2015 10:20,171,40,740
9/30/2015,8287,L7 488 700,3/27/2015 8:30,5/22/2015 8:10,187,56,740
12/18/2015,8288,L8 488 700,4/10/2015 8:30,6/9/2015 8:30,252,60,340
9/18/2015,8289,L9 488 700,4/24/2015 8:30,4/27/2015 8:10,147,3,720
9/18/2015,8290,L10 488 700,4/27/2015 8:30,6/23/2015 8:30,144,57,200
10/30/2015,8291,L11 488 700,5/11/2015 8:30,7/7/2015 8:30,172,57,-240
12/31/2015,8292,L12 488 700,5/26/2015 8:30,7/13/2015 8:50,219,48,740
11/30/2015,8293,L13 488 700,6/9/2015 8:30,7/29/2015 6:50,174,50,740
12/18/2015,8294,L14 488 700,6/23/2015 8:30,8/24/2015 8:30,178,62,2640.01
1/15/2016,8295,L15 488 700,7/7/2015 8:30,7/29/2015 10:50,192,22,740
12/31/2015,8296,L16 488 700,7/21/2015 8:30,8/21/2015 8:30,163,31,-980
1/15/2016,8297,L17 488 700,8/4/2015 8:30,8/21/2015 10:25,164,17,740
1/29/2016,8298,L18 488 700,8/18/2015 8:30,8/24/2015 8:30,164,6,1740
1/15/2016,8299,L1 488 1100 VIX 36,8/24/2015 8:30,8/25/2015 6:50,144,1,1140
1/15/2016,8300,L1 488 550,8/25/2015 8:30,10/1/2015 7:05,143,37,600
1/29/2016,8301,L2 488 550 O,8/26/2015 8:30,10/15/2015 8:20,156,50,600
2/29/2016,8302,L3 488 550,9/9/2015 8:30,9/25/2015 7:55,173,16,600
3/18/2016,8303,L4 488 550,9/23/2015 8:30,11/23/2015 8:30,177,61,120
3/18/2016,8304,L5 488 550,10/7/2015 8:30,10/19/2015 8:20,163,12,580
3/31/2016,8305,L6 488 700,10/20/2015 8:30,12/15/2015 8:30,163,56,140
4/29/2016,8306,L7 488 700,11/3/2015 8:30,12/29/2015 8:30,178,56,360
6/17/2016,8307,L8 488 700,11/17/2015 8:30,1/15/2016 8:30,213,59,160
5/31/2016,8308,L9 488 700,12/1/2015 8:30,1/8/2016 8:30,182,38,-519.99
6/30/2016,8309,L10 488 700,12/15/2015 8:30,1/20/2016 8:30,198,36,560
4/29/2016,8310,L11 488 700,12/29/2015 8:30,1/8/2016 8:30,122,10,-280
5/31/2016,8311,L12 488 550,1/11/2016 8:30,1/29/2016 6:45,141,18,580
6/17/2016,8312,L13 488 550,1/25/2016 8:30,3/21/2016 8:30,144,56,420
6/30/2016,8313,L14 488 550,2/8/2016 8:30,3/28/2016 7:55,143,49,580
7/29/2016,8314,L15 488 550,2/22/2016 8:30,3/30/2016 6:50,158,37,600
8/31/2016,8315,L16 488 700,3/7/2016 8:30,5/2/2016 8:30,177,56,160
9/16/2016,8316,L17 488 700,3/21/2016 8:30,5/16/2016 8:30,179,56,280
9/30/2016,8317,L18 488 700,4/4/2016 8:30,5/25/2016 6:50,179,51,720
12/16/2016,8318,L19 488 700,4/18/2016 8:30,5/31/2016 6:40,242,43,720
10/31/2016,8319,L20 488 700,5/2/2016 8:30,6/28/2016 8:30,182,57,520
12/30/2016,8320,L21 488 700,5/16/2016 8:30,7/13/2016 7:55,228,58,740
12/16/2016,8321,L22 488 700,5/31/2016 8:30,8/1/2016 8:30,199,62,-220
11/30/2016,8322,L23 488 700,6/14/2016 8:30,6/23/2016 7:10,169,9,740
11/30/2016,8323,L24 488 700,6/23/2016 8:30,8/18/2016 8:30,160,56,0
1/20/2017,8324,L25 488 700,7/7/2016 8:30,8/22/2016 8:50,197,46,740
12/30/2016,8325,L26 488 700,7/21/2016 8:30,9/15/2016 8:30,162,56,-360
12/16/2016,8326,L27 488 700,8/4/2016 8:30,9/29/2016 8:30,134,56,560
1/31/2017,8327,L28 488 700,8/18/2016 8:30,10/10/2016 6:45,166,53,740
1/20/2017,8328,L29 488 700,9/1/2016 8:30,10/31/2016 8:30,141,60,520
2/28/2017,8329,L30 488 700,9/15/2016 8:30,10/21/2016 6:30,166,36,740
3/17/2017,8330,L31 488 700,9/29/2016 8:30,11/3/2016 9:05,169,35,740
3/31/2017,8331,L32 488 700,10/13/2016 8:30,11/4/2016 8:25,169,22,740
6/16/2017,8332,L33 488 700,10/27/2016 8:30,12/22/2016 6:55,232,56,740
3/31/2017,8333,L34 488 700,11/10/2016 8:30,1/6/2017 8:30,141,57,400
4/28/2017,8334,L35 488 700,11/25/2016 8:30,1/20/2017 8:30,154,56,260
5/31/2017,8335,L36 488 700,12/9/2016 8:30,2/3/2017 8:30,173,56,200
6/16/2017,8336,L37 488 700,12/23/2016 8:30,2/17/2017 8:30,175,56,180
6/30/2017,8337,L38 488 700,1/6/2017 8:30,3/3/2017 8:30,175,56,600
9/15/2017,8338,L39 488 700,1/20/2017 8:30,3/17/2017 8:30,238,56,560
7/31/2017,8339,L40 488 700,2/3/2017 8:30,3/31/2017 8:30,178,56,120
9/29/2017,8340,L41 488 700,2/17/2017 8:30,4/17/2017 8:30,224,59,360
8/31/2017,8341,L42 488 700,3/3/2017 8:30,5/1/2017 8:30,181,59,220
9/15/2017,8342,L43 488 700,3/17/2017 8:30,5/15/2017 8:30,182,59,240
7/31/2017,8343,L44 488 700,3/31/2017 8:30,5/30/2017 8:30,122,60,40
9/29/2017,8344,L45 488 700,4/17/2017 8:30,6/13/2017 8:30,165,57,220
10/31/2017,8345,L46 488 700 Opp,5/1/2017 8:30,6/27/2017 8:30,183,57,20
12/15/2017,8346,L47 488 700,5/15/2017 8:30,7/14/2017 8:30,214,60,380
12/29/2017,8347,L48 488 700,5/30/2017 8:30,7/11/2017 8:05,213,42,740
11/30/2017,8348,L49 488 700,6/13/2017 8:30,8/8/2017 8:30,170,56,120
1/19/2018,8349,L50 488 700,6/27/2017 8:30,8/28/2017 8:30,206,62,-360
12/29/2017,8350,L51 488 700,7/11/2017 8:30,9/11/2017 8:30,171,62,200
12/15/2017,8351,L52 488 700 Opp,7/25/2017 8:30,8/11/2017 8:30,143,17,140
1/31/2018,8352,L53 488 700,8/8/2017 8:30,10/3/2017 8:30,176,56,-220
3/16/2018,8353,L54 488 700,8/22/2017 8:30,10/17/2017 8:30,206,56,-340
2/28/2018,8354,L55 488 700,9/5/2017 8:30,10/31/2017 8:30,176,56,300
3/29/2018,8355,L56 488 850,9/19/2017 8:30,11/2/2017 9:35,191,44,880
1/31/2018,8356,L57 488 850,10/3/2017 8:30,11/28/2017 8:30,120,56,420
3/16/2018,8357,L58 488 850 Opp,10/17/2017 8:30,12/12/2017 8:30,150,56,-460
6/15/2018,8358,L59 488 850,10/31/2017 8:30,12/26/2017 8:30,227,56,-400
4/30/2018,8359,L60 488 850,11/14/2017 8:30,1/9/2018 8:30,167,56,520
6/29/2018,8360,L61 488 850,11/28/2017 8:30,1/23/2018 8:30,213,56,240
5/31/2018,8361,L62 488 850,12/12/2017 8:30,2/6/2018 8:30,170,56,940
6/15/2018,8362,L63 488 850,12/26/2017 8:30,2/6/2018 8:30,171,42,900
9/21/2018,8363,L64 488 850,1/9/2018 8:30,2/6/2018 8:05,255,28,1420
6/29/2018,8364,L65 488 850,1/23/2018 8:30,2/6/2018 8:30,157,14,2639.99
6/29/2018,8365,L1 488 1700 VIX 36,2/6/2018 8:30,2/14/2018 7:10,143,8,1820
7/31/2018,8366,L1 488 850,2/14/2018 8:30,4/11/2018 9:50,167,56,880
9/21/2018,8367,L2 488 850,2/28/2018 8:30,4/30/2018 8:30,205,61,800
8/31/2018,8368,L3 488 850,3/14/2018 8:30,3/28/2018 8:30,170,14,-140.01
8/31/2018,8369,L4 488 850,3/28/2018 8:30,4/26/2018 7:50,156,29,880
9/28/2018,8370,L5 488 850,4/11/2018 8:30,5/2/2018 9:45,170,21,880
12/21/2018,8371,L6 488 850,4/25/2018 8:30,6/25/2018 8:30,240,61,100
9/28/2018,8372,L7 488 850,5/9/2018 8:30,7/9/2018 8:30,142,61,680
10/31/2018,8373,L8 488 850 Opp,5/23/2018 8:30,5/29/2018 8:30,161,6,40
10/31/2018,8374,L9 488 850,5/29/2018 8:30,7/24/2018 8:30,155,56,440
11/30/2018,8375,L10 488 850,6/12/2018 8:30,8/13/2018 8:30,171,62,-80
12/21/2018,8376,L11 488 850,6/26/2018 8:30,7/27/2018 6:30,178,31,880
12/31/2018,8377,L12 488 850,7/10/2018 8:30,9/4/2018 8:30,174,56,680
1/18/2019,8378,L13 488 850,7/24/2018 8:30,9/18/2018 8:30,178,56,560
1/31/2019,8379,L14 488 850,8/7/2018 8:30,10/2/2018 8:30,177,56,440
3/15/2019,8380,L15 488 850,8/21/2018 8:30,10/22/2018 8:30,206,62,300
2/28/2019,8381,L16 488 850,9/4/2018 8:30,10/23/2018 8:30,177,49,-220
3/29/2019,8382,L17 488 850,9/18/2018 8:30,10/23/2018 8:30,192,35,-780
1/31/2019,8383,L18 488 850,10/2/2018 8:30,10/11/2018 8:30,121,9,-2100
6/21/2019,8384,L19 488 850 O,10/11/2018 8:30,12/10/2018 8:30,253,60,-240
3/29/2019,8385,L20 488 850,10/25/2018 8:30,12/13/2018 7:10,155,49,900
4/30/2019,8386,L21 488 850,11/8/2018 8:30,11/20/2018 8:30,173,12,-700.01
6/28/2019,8387,L22 488 850 O,11/15/2018 8:30,12/14/2018 10:55,225,29,880
4/30/2019,8388,L23 488 850,11/29/2018 8:30,12/18/2018 8:30,152,19,-340
5/31/2019,8389,L24 488 850,12/13/2018 8:30,12/19/2018 12:50,169,6,900
5/31/2019,8390,L1 488 700,12/20/2018 8:30,2/19/2019 8:30,162,61,-620
6/21/2019,8391,L2 488 700 O,12/27/2018 8:30,2/25/2019 8:30,176,60,240
6/28/2019,8392,L3 488 850,1/10/2019 8:30,1/31/2019 7:30,169,21,880
9/20/2019,8393,L4 488 850,1/24/2019 8:30,2/4/2019 7:35,239,11,880.01
6/28/2019,8394,L5 488 850,2/4/2019 8:30,3/29/2019 12:30,144,53,880
7/19/2019,8395,L6 488 850,2/19/2019 8:30,3/14/2019 6:35,150,23,880
7/31/2019,8396,L7 488 850,3/5/2019 8:30,4/30/2019 8:30,148,56,460
8/16/2019,8397,L8 488 850,3/19/2019 8:30,5/14/2019 8:30,150,56,-400
8/30/2019,8398,L9 488 850,4/2/2019 8:30,5/22/2019 8:30,150,50,880
9/20/2019,8399,L10 488 850,4/16/2019 8:30,5/22/2019 8:05,157,36,880.01
9/30/2019,8400,L11 488 850,4/30/2019 8:30,5/29/2019 8:30,153,29,-780
10/18/2019,8401,L12 488 850,5/14/2019 8:30,7/1/2019 6:50,157,48,919.99
10/31/2019,8402,L13 488 850,5/28/2019 8:30,7/23/2019 8:30,156,56,300
11/15/2019,8403,L14 488 850,6/11/2019 8:30,7/24/2019 6:50,157,43,880
11/29/2019,8404,L15 488 850,6/25/2019 8:30,8/16/2019 8:30,157,52,-1220
12/20/2019,8405,L16 488 850,7/9/2019 8:30,8/30/2019 8:30,164,52,-2920
12/31/2019,8406,L17 488 850,7/23/2019 8:30,9/13/2019 8:30,161,52,-2000
1/17/2020,8407,L18 488 850 O,8/2/2019 8:30,9/18/2019 12:15,168,47,920
1/31/2020,8408,L19 488 850,8/16/2019 8:30,9/19/2019 7:45,168,34,880
2/21/2020,8409,L20 488 850,8/30/2019 8:30,9/18/2019 10:45,175,19,880
2/28/2020,8410,L21 366 850,9/13/2019 8:30,11/1/2019 8:20,168,49,885
3/20/2020,8411,L22 488 850,9/27/2019 8:30,11/4/2019 7:25,175,38,899.99
3/31/2020,8412,L23 488 850 O,10/2/2019 8:30,10/4/2019 7:55,181,2,880
3/31/2020,8413,L24 488 850,10/11/2019 8:30,10/25/2019 8:10,172,14,880
3/31/2020,8414,L25 366 850,10/25/2019 8:30,12/24/2019 8:30,158,60,750
3/6/2020,8415,L26 366 850,11/8/2019 8:30,1/7/2020 8:30,119,60,765
4/17/2020,8416,L27 366 850,11/22/2019 8:30,12/13/2019 11:20,147,21,870
4/30/2020,8417,L28 366 850,12/6/2019 8:30,12/27/2019 8:20,146,21,870
5/15/2020,8418,L29 366 850,12/20/2019 8:30,2/3/2020 6:30,147,45,990
5/29/2020,8419,L30 366 850,1/3/2020 8:30,2/5/2020 8:55,147,33,870
6/19/2020,8420,L31 366 850,1/17/2020 8:30,2/27/2020 8:30,154,41,-2189.99
6/30/2020,8421,L32 366 850,1/31/2020 8:30,2/27/2020 8:30,151,27,-2010
7/17/2020,8422,L33 366 850,2/14/2020 8:30,2/25/2020 8:30,154,11,-2070.01
7/31/2020,8423,L34 366 850 O,2/24/2020 8:30,2/28/2020 8:30,158,4,-314.99
7/31/2020,8424,L1 488 1700 VIX 36,2/28/2020 8:30,3/12/2020 8:30,154,13,2220.01
7/31/2020,8425,L1 488 2550 VIX 36,3/12/2020 8:30,3/18/2020 8:25,141,6,2620
8/21/2020,8426,L1 488 2100 VIX 36,3/18/2020 8:30,3/20/2020 6:30,156,2,2520
8/21/2020,8427,L1 488 2100 VIX 36,3/20/2020 8:30,3/23/2020 9:30,154,3,2120
8/21/2020,8428,L1 488 2100 VIX 36,3/24/2020 8:30,4/23/2020 8:30,150,30,-19.99
9/18/2020,8429,L1 488 1700 VIX 36,4/23/2020 8:30,4/29/2020 8:20,148,6,1740.01
9/30/2020,8430,L1 488 850 VIX 36,4/29/2020 8:30,5/8/2020 6:40,154,9,880
9/30/2020,8431,L1 488 850,5/8/2020 8:30,5/11/2020 9:30,145,3,880
10/16/2020,8432,L1 488 850 VIX 36,5/12/2020 8:30,5/18/2020 6:30,157,6,959.99
10/16/2020,8433,L1 488 850,5/18/2020 8:30,5/26/2020 6:40,151,8,880
10/16/2020,8434,L1 366 850,5/26/2020 8:30,6/8/2020 9:05,143,13,869.99
10/30/2020,8435,L1 366 850 VIX 36,6/9/2020 8:30,7/9/2020 8:30,143,30,-210
11/20/2020,8436,L2 366 850 O VIX 36,6/11/2020 8:30,6/29/2020 9:40,162,18,870
11/30/2020,8437,L1 366 850,7/9/2020 8:30,7/17/2020 6:35,144,8,855
12/18/2020,8438,L1 366 850,7/17/2020 8:30,8/4/2020 8:20,154,18,870
12/31/2020,8439,L2 366 850,7/31/2020 8:30,8/12/2020 8:30,153,12,870
1/15/2021,8440,L1 366 850,8/12/2020 8:30,8/24/2020 8:30,156,12,870
1/15/2021,8441,L1 366 850,8/24/2020 8:30,9/14/2020 11:05,144,21,884.99
1/29/2021,8442,L2 366 850 O,9/4/2020 8:30,9/8/2020 13:00,147,4,855
1/29/2021,8443,L3 366 850,9/9/2020 8:30,9/14/2020 6:30,142,5,900
2/19/2021,8444,L4 366 850,9/14/2020 8:30,10/12/2020 6:40,158,28,915
2/26/2021,8445,L5 366 850,9/28/2020 8:30,10/8/2020 11:20,151,10,870
2/26/2021,8446,L6 366 850 VIX 36,10/9/2020 8:30,11/9/2020 8:30,140,31,-870
3/19/2021,8447,L7 366 850 O VIX 36,10/20/2020 8:30,11/3/2020 6:30,150,14,855
3/31/2021,8448,L1 366 1000,11/9/2020 8:30,12/3/2020 6:35,142,24,1020
4/16/2021,8449,L2 366 1000 O,11/10/2020 8:30,11/25/2020 10:45,157,15,1020
4/30/2021,8450,L3 366 1000,11/24/2020 8:30,12/18/2020 6:45,157,24,1035
5/21/2021,8451,L4 366 1000,12/8/2020 8:30,12/24/2020 10:00,164,16,1020.01
